a,tau,f,lambda,O_inital,A_inital,O_inital_text
0.1,0.7,0.2,0.9,0.4,0.0,有点贵
0.8,0.1,0.1,0.8,0.4,0.0,流量从15到20G，价格却翻了一倍，奸商
0.1,0.8,0.1,0.9,0.2,0.0,不太需要，学校里基本都有wifi，多流量也没用
0.45,0.1,0.45,0.3,0.9,1.0,支持常用app，流量一共变成了50G，升级套餐的性价比更高。并且我了解到：移动APP升级，支持更多服务。套餐里也有彩铃等福利，感觉移动的诚意满满（虽然lmx是联通用户）
0.01,0.5,0.49,0.5,0.5,1.0,虽然更贵了 但是部分内容还蛮吸引我的
0.2,0.4,0.4,0.6,0.8,0.0,1、流量增加了2、5G网络速度快，移动服务好3、套餐价格上涨较多
0.0,1.0,0.0,0.8,0.1,0.0,没有额外的需求，不想多花钱
0.2,0.4,0.4,0.2,1.0,1.0,APP升级了而且更便捷更方便增加了及时功能
0.2,0.5,0.3,0.4,0.2,0.0,因为5G网大部分地方不稳定使用
0.2,0.3,0.5,0.9,0.2,0.0,我是觉得不是很划算，升级的点并不是我在意的，同时也比电信联通资费高
0.1,0.2,0.7,0.8,0.2,0.0,给的通用流量少，还贵了那么多
0.25,0.7,0.05,0.6,0.8,1.0,性价比还算不错了
0.3,0.2,0.5,0.75,0.6,0.0,移动在通信和网速上体验感最好，但是每个月的费用还是比较高
0.15,0.25,0.6,0.85,0.7,1.0,原套餐流量不够用，超出流量费用比较高
0.2,0.5,0.3,0.9,0.3,0.0,一般移动资费高于电信和联通，不划算
0.05,0.8,0.15,0.5,1.0,1.0,套餐划算 app升级界面整洁操作简洁
0.01,0.98,0.01,0.9,0.1,0.0,因为套餐比较贵。不值得
0.0,0.95,0.05,1.0,0.1,0.0,运营商心也太黑了，搞的这么贵，花里胡哨赚老百姓的钱。
0.1,0.4,0.5,0.7,0.8,1.0,它适用于很多的APP的使用流量，还有就是移动的网速，对于其他的公司对比来说也是不错的。
0.1,0.6,0.3,0.5,0.5,1.0,会给我们带来便利，但是不清楚他的服务怎么样，不知道上网情况怎么样
0.03,0.9,0.07,0.4,0.8,1.0,我觉得这个比之前的更好了，而且更方便操作和使用
0.1,0.3,0.6,0.3,0.3,0.0,对于工作的人来说，没wifi工作的地方，这些流量并不够用，能够长时间连wifi的人，则不需要这么多流量
0.0,0.4,0.6,0.7,0.4,0.0,39元月租太贵了，给的福利也不好
0.1,0.7,0.2,0.8,0.4,0.0,移动的套餐费比电信和联通要高出一些，我觉得有点不划算
0.1,0.8,0.1,0.75,0.4,0.0,感觉该项费用的上涨幅度过大，与实际提供的额外服务不相匹配。
0.05,0.75,0.2,1.0,0.5,0.0,多出20元，但未感觉多出套餐值得
0.05,0.35,0.6,0.1,0.9,1.0,我觉得用每月20块钱换取更优质的上网和通话体验是值得的
0.1,0.7,0.2,0.8,0.9,1.0,新套餐，流量，以及定向流量都是比较多
0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.1,0.0,价格贵 且套餐不好 流量少
0.3,0.6,0.1,0.8,0.3,0.0,我觉得性价比不高，而且价格有点太贵了，赠送的流量也不多
0.1,0.6,0.3,0.7,0.2,0.0,价格和流量和语音的量不匹配，价格太贵，但是可以使用的量太少，根本不够用，套餐不实惠
0.2,0.3,0.5,0.45,0.6,0.0,升级了个性化不错，但是还是有点贵
0.2,0.6,0.2,0.4,0.5,1.0,虽然套餐很好，但是信号不如其他运营商好
0.1,0.7,0.2,1.0,0.0,0.0,我有wifi 没必要花多一倍价格买个没用的流量
0.25,0.5,0.25,0.7,0.4,1.0,套餐变多，更划算
0.1,0.8,0.1,1.0,0.6,0.0,移动的标准套餐资费从10-599不等，一般来说移动资费高于电信和联通。
0.05,0.8,0.15,0.95,0.6,0.0,感觉并没有吸引到，但是有新号码，避免用到老号码的这个不错
0.3,0.5,0.2,0.8,0.6,0.0,虽然价格上涨了，但是确实流量等都增加了一大部分
0.2,0.5,0.3,0.5,0.9,0.0,有更多服务了，但也是根据个人需求
0.45,0.45,0.1,1.0,0.5,0.0,我认为新套餐比较优惠，但是否真正需要还有待考虑。
